NDB_0,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,is_lactose,is_seafood,is_gluten,is_vegetable,contains_nuts,is_sweetener,is_vegetarian,is_grain,Descrip
1001,butter with salt,717,0.85,51.368,81.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,1,0,0.005,0.034,0.042,0.003,3,0.17,684,2.32,0,0,0,0,0,0,0,1,0,butter with salt
1004,cheese blue,353,21.4,18.669,28.74,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,0,0.029,0.382,1.016,0.166,36,1.22,198,0.25,0.5,1,0,0,0,0,0,1,0,cheese blue
1017,cheese cream,350,6.15,20.213,34.44,5.52,0,3.76,97,0.11,9,107,132,314,0.5,0.018,0.011,8.6,0,0.023,0.23,0.091,0.056,9,0.22,308,0.86,0,1,0,0,0,0,0,1,0,cheese cream
1077,milk whl 325 milkfat w added vitamin d,61,3.15,1.865,3.25,4.8,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.036,5,0.45,46,0.07,1.3,1,0,0,0,0,0,1,0,milk whl 325 milkfat w added vitamin d
4053,olive oil,884,0,13.808,100,0,0,0,1,0.56,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14.35,0,0,0,0,0,0,0,1,0,olive oil
4058,oil sesame salad or cooking,884,0,14.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,1,0,oil sesame salad or cooking
4055,oil palm,884,0,49.3,100,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,0,0,0,0,1,0,oil palm
2029,dried parsley,292,26.63,1.378,5.48,50.64,26.7,7.27,1140,22.04,400,436,2683,452,5.44,0.78,9.81,14.1,125,0.196,2.383,9.943,0.9,180,0,97,8.96,0,0,0,0,0,0,0,1,0,dried parsley
2027,dried oregano,265,9,1.551,4.28,68.92,42.5,4.09,1597,36.8,270,148,1260,25,2.69,0.633,4.99,4.5,2.3,0.177,0.528,4.64,1.044,237,0,85,18.26,0,0,0,0,0,0,0,1,0,dried oregano
2047,salt,0,0,0,0,0,0,0,24,0.33,1,0,8,38758,0.1,0.03,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,salt
6972,tomato sauce,92,2.5,0.045,0.3,19.79,2.4,13.33,20,0.8,12,52,370,1338,0.16,0.13,0,1.1,16,0.09,0.07,1.6,0.16,9,0,34,1.92,0,0,0,0,0,0,0,1,0,tomato sauce
